"P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15","P16","P17","P18","P19","P20","P21","P22","P23","P24","P25","P26","P27","P28","P29","P30","P31","P32","P33","P34","P35","P36","P37","P38","P39","P40","P41","P42","P43","P44","P45","P46","P47","P48","P49","P50","P51","P52","P53","P54","P55","P56","P57","P58","P59","P60","P61","P62","P63","P64","P65","P66","P67","P68","P69"
"CONST_ErrorOrMissing","ErrMiss_",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CONST_GoodToMarket","ToMarket_",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CONST_NA","n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CONST_PrecursorToGoodInput","PrecToGood_",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CONST_tonnes","tonnes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CONST_TransitionalOrDefinitive","Transitional","Definitive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CONST_TrueFalse","True","False",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CONST_torkNm3","t","1000Nm3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CONST_TJ","TJ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CONST_GJ","GJ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CONST_t","t",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CONST_kNm3","1000Nm3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CONST_GJpt","GJ/t",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CONST_GWh","GWh",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CONST_MWh","MWh",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CONST_tCO2","tCO2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CONST_tCO2eq","tCO2e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CONST_tCO2pt","tCO2/t",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CONST_tCO2pTJ","tCO2/TJ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CONST_tCO2pkNm3","tCO2/1000Nm3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CONST_GJpkNm3","GJ/1000Nm3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CONST_tC","tC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CONST_tCpt","tC/t",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CONST_tCpkNm3","tC/1000Nm3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CONST_torkNm3","t","1000Nm3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CONST_torkNm3orNA","t","1000Nm3","n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CONST_DataQuality","Mostly measurements & analyses","Mostly measurements & national standard factors for e.g. the emission factor","Mostly measurements & sector-specific standard factors for e.g. the emission factor","Mostly measurements & international standard factors for e.g. the emission factor","Mostly default values provided by the European Commission",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CONST_DataVerification","Third-party verification","Internal audits","Four eyes principle","None",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CONST_DataQualityJustification","Unreasonable costs for more accurate monitoring","Data gaps","Other",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CONST_CarbonPriceType","None","Carbon Tax","Carbon Levy","Carbon Fee","National Emissions Trading System","Regional Emissions Trading System","Combination","Other",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CONST_RebateType","None","Free allocation","Financial compensation","Tax deduction","Combination","Other",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CONST_tCO2pTJOrtCO2pt","tCO2/TJ","tCO2/t","tCO2/1000Nm3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CONST_tCptOrtCpkNm3","tC/t","tC/1000Nm3","n.a.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CONST_tCptortCO2pkNm3","tC/t","tC/1000Nm3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CONST_hpa","h/period",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CONST_Nm3ph","1000Nm3/h",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CONST_gpNm3","g/Nm3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CONST_kNm3pa","1000Nm3/Year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CONST_Year","Year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CONST_CEMSType","CO2","N2O",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CONST_MonitoringApproach","Combustion","Process emissions","Mass Balance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CONST_PFCSlopeOrOvervoltage","Slope method","Overvoltage method",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CONST_ReducingAgent","Coal or coke","Natural gas","Biogas","Hydrogen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CONST_MsgMissingProdProc","Missing! Please assign ALL relevant aggregated goods categories to a 'production process'.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CONST_MsgJumpkNextSheet","Click here to proceed to next sheet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CONST_PurchPrecDefaultUsed","PurchPrecDef_",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CONST_OnlyDirProd","Only direct production",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CONST_AllProdRoutes","All production routes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CONST_PleaseSelect","Please select?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CONST_ERR_Incomplete","Incomplete!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CONST_ERR_Inconsistent","Inconsistent!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CONST_ERR_Duplicate","Duplicate!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CONST_MeasuredOrDefault","Measured","Default",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CONST_MeasDefaultUnknown","Measured","Default","Unknown",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CONST_ProductionProcess","Production process",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CONST_PurchPrecursor","Purchased precursor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CONST_LinkToGuidanceSheet","Please click on this link for further guidance on how to complete this section.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CONST_LinkFromGuidance","Please click on this link if you want to go back to the relevant section for data entry.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CONST_LinkToCPTool","Please click on this link to go to the ""tool for calculation of the carbon price due"".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CONST_LinkToCHPTool","Please click on this link to go to the ""CHP Tool for attributing emissions between heat and electricity"".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CONST_GWP_N2O","265",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CONST_GWP_CF4","6630",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CONST_GWP_C2F6","11100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Name of this sheet:","Parameters_Constants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Used for calculations in Sheet A!",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Indirect emissions relevant?",,,"Production route",,,,,,,,,,,"Relevant precursors",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CONST_CNTR_PrecNumbering",,,,,
"CBAM good","Unit","Indir.em relevant? (definitive)","Indir.em relevant? (transitional","Production route relevant?","Address","1","2","3","4","5","6","7","8","9","10","Address","1","2","3","4","5","6","7","8","9","10",,,"1","2","3","4","5","6","7","8","9","10",,"Cement","Cement clinker","Calcined clays ","Aluminous cement","Iron or steel products","Crude steel","Direct reduced iron","Pig iron","Alloys (FeMn, FeCr, FeNi)","Sintered Ore","Hydrogen","Ammonia","Nitric acid","Urea","Mixed fertilisers","Aluminium products","Unwrought aluminium","Electricity (export to EU)",,"from sheet A",,"Relevant precursor?",,"Numbering precursor",,"PFC emissions for cond. form. in sheet B",,,
"Cement","t","True","True","False","Parameters_Constants!$G$89:$G$89","All production routes","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","Parameters_Constants!$R$89:$S$89","Cement clinker","Calcined clays ","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",,"Cement","Cement clinker","Calcined clays ","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0",,"0",,"",,"False",,,
"Cement clinker","t","True","True","False","Parameters_Constants!$G$90:$G$90","All production routes","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","Parameters_Constants!$R$90:$R$90","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",,"Cement clinker","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0",,"0",,"",,"False",,,
"Calcined clays ","t","True","True","False","Parameters_Constants!$G$91:$G$91","All production routes","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","Parameters_Constants!$R$91:$R$91","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",,"Calcined clays ","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0",,"0",,"",,"False",,,
"Aluminous cement","t","True","True","False","Parameters_Constants!$G$92:$G$92","All production routes","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","Parameters_Constants!$R$92:$R$92","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",,"Aluminous cement","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0",,"0",,"",,"False",,,
"Iron or steel products","t","False","True","False","Parameters_Constants!$G$93:$G$93","All production routes","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","Parameters_Constants!$R$93:$R$93","Crude steel","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",,"Iron or steel products","Crude steel","Pig iron","Alloys (FeMn, FeCr, FeNi)","Sintered Ore","Direct reduced iron","Hydrogen","n.a.","n.a.","n.a.","n.a.",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0",,"0",,"",,"False",,,
"Crude steel","t","False","True","True","Parameters_Constants!$G$94:$J$94","Basic oxygen steelmaking","Electric arc furnace","Other production routes","Unknown production routes","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","Parameters_Constants!$R$94:$T$94","Pig iron","Direct reduced iron","Alloys (FeMn, FeCr, FeNi)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",,"Crude steel","Pig iron","Alloys (FeMn, FeCr, FeNi)","Sintered Ore","Direct reduced iron","Hydrogen","n.a.","n.a.","n.a.","n.a.","n.a.",,"0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0",,"0",,"",,"False",,,
"Direct reduced iron","t","False","True","False","Parameters_Constants!$G$95:$G$95","All production routes","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","Parameters_Constants!$R$95:$S$95","Sintered Ore","Hydrogen","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",,"Direct reduced iron","Sintered Ore","Hydrogen","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",,"0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0",,"0",,"0",,"",,"False",,,
"Pig iron","t","False","True","True","Parameters_Constants!$G$96:$J$96","Blast furnace route","Smelting reduction","Other production routes","Unknown production routes","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","Parameters_Constants!$R$96:$S$96","Sintered Ore","Alloys (FeMn, FeCr, FeNi)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",,"Pig iron","Alloys (FeMn, FeCr, FeNi)","Sintered Ore","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",,"0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0",,"0",,"0",,"",,"False",,,
"Alloys (FeMn, FeCr, FeNi)","t","False","True","False","Parameters_Constants!$G$97:$G$97","All production routes","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","Parameters_Constants!$R$97:$R$97","Sintered Ore","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",,"Alloys (FeMn, FeCr, FeNi)","Sintered Ore","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",,"0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0",,"0",,"0",,"",,"False",,,
"Sintered Ore","t","True","True","False","Parameters_Constants!$G$98:$G$98","All production routes","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","Parameters_Constants!$R$98:$R$98","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",,"Sintered Ore","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",,"0","0","0","0","1","1","1","1","1","0","0","0","0","0","0","0","0","0",,"0",,"0",,"",,"False",,,
"Hydrogen","t","False","True","True","Parameters_Constants!$G$99:$K$99","Steam reforming and partial oxidation","Electrolysis of water","Chlor-Alkali electrolysis and production of chlorates","Other production routes","Unknown production routes","n.a.","n.a.","n.a.","n.a.","n.a.","Parameters_Constants!$R$99:$R$99","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",,"Hydrogen","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",,"0","0","0","0","1","1","1","0","0","0","0","1","1","1","1","0","0","0",,"0",,"0",,"",,"False",,,
"Ammonia","t","False","True","True","Parameters_Constants!$G$100:$J$100","Haber-Bosch process with steam reforming of natural gas or biogas","Haber-Bosch process with gasification of coal or other fuels","Other production routes","Unknown production routes","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","Parameters_Constants!$R$100:$R$100","Hydrogen","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",,"Ammonia","Hydrogen","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",,"0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0",,"0",,"0",,"",,"False",,,
"Nitric acid","t","True","True","False","Parameters_Constants!$G$101:$G$101","All production routes","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","Parameters_Constants!$R$101:$R$101","Ammonia","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",,"Nitric acid","Ammonia","Hydrogen","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0",,"0",,"0",,"",,"False",,,
"Urea","t","True","True","False","Parameters_Constants!$G$102:$G$102","All production routes","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","Parameters_Constants!$R$102:$R$102","Ammonia","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",,"Urea","Ammonia","Hydrogen","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0",,"0",,"0",,"",,"False",,,
"Mixed fertilisers","t","True","True","False","Parameters_Constants!$G$103:$G$103","All production routes","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","Parameters_Constants!$R$103:$T$103","Ammonia","Nitric acid","Urea","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",,"Mixed fertilisers","Urea","Nitric acid","Ammonia","Hydrogen","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0",,"0",,"",,"False",,,
"Aluminium products","t","False","True","False","Parameters_Constants!$G$104:$G$104","All production routes","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","Parameters_Constants!$R$104:$R$104","Unwrought aluminium",,"n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",,"Aluminium products","Unwrought aluminium","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0",,"0",,"",,"True",,,
"Unwrought aluminium","t","False","True","True","Parameters_Constants!$G$105:$J$105","Primary (electrolytic) smelting","Secondary melting (recycling)","Other production routes","Unknown production routes","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","Parameters_Constants!$R$105:$R$105","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",,"Unwrought aluminium","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0",,"0",,"0",,"",,"True",,,
"Electricity (export to EU)","MWh","False","False","False","Parameters_Constants!$G$106:$G$106","All production routes","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","Parameters_Constants!$R$106:$R$106","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",,"Electricity (export to EU)","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.","n.a.",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0",,"0",,"",,"False",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Special parameters to be reported",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
